CODE,NOM,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BR,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
6118001230068,URO / EAU POUR IRRIGATION,EAU POUR PREPARATION INJECTABLE,3000,ML,SOLUTION POUR IRRIGATION,1 POCHE 3 L, 95.00   , -     , 95.00   ,P,0%
6118010116230,ELOXATINE 5 MG/ML,OXALIPLATINE,200,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON 40 ML," 2,882.00   "," 2,555.00   "," 2,882.00   ",P,70%
6118001081646,ELOXATINE 5 MG/ML,OXALIPLATINE,200,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON 40 ML," 2,882.00   "," 2,555.00   "," 2,882.00   ",P,70%
6118001182459,VIVALAN,VILOXAZINE,100,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME, 60.70   , 40.10   , 60.70   ,P,0%
6118000120155,ZADRYL,CETIRIZINE,1,MG,SOLUTION BUVABLE,1 FLACON 60 ML, 31.90   , 19.90   , 31.90   ,G,70%
6118000241256,MYNAZOL,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE, 87.00   , 54.20   , 87.00   ,G,70%
6118000091974,ALFACEFAL 125 MG/5 ML,CEFACLOR,1.5,G,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML, 45.00   , 29.80   , 45.00   ,G,0%
6118000041344,NOCAND 50 MG,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE, 35.00   , 21.80   , 35.00   ,G,70%
6118000100270,MEDIATOR,BENFLUOREX,150,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME, 60.00   , 39.70   , 60.00   ,P,0%
6118000071068,GASTROLIBER,LANSOPRAZOLE,30,MG,GELULE GASTRO-RESISTANTE,1 BOITE 15 GELULE GASTRO-RESISTANTE, 75.00   , 46.70   , 75.00   ,G,70%
6118000180142,CLOFENE,DICLOFENAC,25,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 20 COMPRIME, 20.50   , 12.80   , 20.00   ,P,70%
6118001170456,ZELDOX,ZIPRASIDONE,40,MG,GELULE,1 BOITE 14 GELULE, 318.00   , 211.00   , 318.00   ,P,70%
6118001170333,TRIFLUCAN,FLUCONAZOLE,2,MG,SOLUTION POUR PERFUSION,1 FLACON 50 ML, 144.30   , 89.80   , 144.10   ,P,70%
6118000031079,AVT,ACIDE ACETYLSALICYLIQUE / THIAMINE (VITAMINE B1),600 / 5,MG / MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE, 10.50   , 6.90   , 10.50   ,G,0%
6118000150121,KLONOPIN,CLONAZEPAM,2,MG,COMPRIME QUADRISECABLE,1 BOITE 40 COMPRIME, 41.20   , 25.70   , 41.20   ,P,70%
6118000032182,HYDROXO 5000,HYDROXOCOBALAMINE,5000,µG,SOLUTION INJECTABLE,1 BOITE 4 AMPOULE, 58.50   , 38.70   , 58.50   ,P,0%
6118000140160,DISPAMOX,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 12 COMPRIME, 34.60   , 21.50   , 34.60   ,G,70%
6118000180418,MUSARIL,TETRAZEPAM,50,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME, 51.80   , 34.30   , 51.80   ,G,0%
6118000100225,PRETERAX,INDAPAMIDE / PERINDOPRIL,0.625 / 2,MG / MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME, 239.00   , -     , 239.00   ,P,70%
6118001080304,CLAFORAN,CEFOTAXIME,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 69.00   , 43.00   , 69.00   ,P,70%
6118000080497,RHINOFEBRAL,PARACETAMOL / CHLORPHENAMINE,240 / 3.2,MG / MG,GELULE,1 BOITE 20 GELULE, 14.30   , 9.50   , 14.30   ,P,0%
6118000091547,RIFASONE,RIFAMYCINE / PREDNISOLONE,0.25 / 1,G / G,POMMADE,1 TUBE 5 G, 12.00   , -     , 12.00   ,G,0%
6118000240426,FLUIBRON,AMBROXOL,0.3,%,SOLUTION BUVABLE,1 FLACON 200 ML, 38.85   , 25.70   , 38.85   ,G,0%
6118000160168,AMOXIL,AMOXICILLINE,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML, 38.90   , 24.30   , 38.90   ,P,70%
6118000240150,BENCLAMID,GLIBENCLAMIDE,5,MG,COMPRIME,1 BOITE 60 COMPRIME, 36.20   , 22.60   , 36.20   ,G,70%
6118000250357,UNASYN,AMPICILLINE / SULBACTAM,1 / 0.5,G / G,POUDRE POUR SOLUTION INJECTABLE,1 FLACON 3.2 ML, 42.00   , 26.20   , 42.00   ,P,70%
6118000060451,LASILIX,FUROSEMIDE,20,MG,SOLUTION INJECTABLE,1 AMPOULE 2 ML, 7.40   , 4.60   , 5.60   ,P,70%
6118010020155,DILATOR,SALBUTAMOL,2.5,MG,SOLUTION POUR INHALATION PAR NEBULISEUR,1 BOITE 10 RECIPIENT, 41.20   , 25.70   , 41.20   ,G,70%
6118001101597,DILATOR,SALBUTAMOL,2.5,MG,SOLUTION POUR INHALATION PAR NEBULISEUR,1 BOITE 10 RECIPIENT, 41.20   , 25.70   , 41.20   ,G,70%
6118010024320,FORMOFTIL,FORMOCORTAL,0.05,%,COLLYRE,1 FLACON .5 ML, 17.80   , -     , 17.80   ,G,0%
6118000080275,GENTAGAM 120,GENTAMICINE,120,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE, 15.80   , 9.80   , 15.80   ,G,70%
6118001070763,UMILINE PROFIL 30 PEN,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 CARTOUCHE 3 ML, 104.00   , 65.00   , 104.00   ,P,70%
6118000060567,BIRODOGYL,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250,MUI / MG,COMPRIME PELLICULE,1 BOITE 15 COMPRIME, 102.00   , 63.50   , 79.90   ,P,70%
6118000041207,GLEMA,GLIMEPIRIDE,2,MG,COMPRIME,1 BOITE 30 COMPRIME, 40.00   , 25.00   , 40.00   ,G,70%
